v1,v2
spam,Claim your free vacation now! Offer ends soon.
ham,I’ll call you after lunch.
spam,You’ve been chosen for our loyalty program. Confirm now.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,I’ve emailed you the details you asked for.
ham,Happy birthday! Hope you have a great day.
spam,Claim your free vacation now! Offer ends soon.
ham,I’ve emailed you the details you asked for.
spam,You have been selected for a $1000 gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
ham,I’ll call you after lunch.
ham,I’ve emailed you the details you asked for.
ham,I’ve emailed you the details you asked for.
ham,Please review the document and share feedback.
ham,See you at the office tomorrow morning.
ham,Can you send me the notes from today’s lecture?
spam,Exclusive deal for you! Click the link to redeem.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,See you at the office tomorrow morning.
spam,Claim your free vacation now! Offer ends soon.
ham,I’ll call you after lunch.
spam,Get 50% off on all items today only! Shop now.
spam,You’ve been chosen for our loyalty program. Confirm now.
spam,Earn money from home! No experience needed.
ham,Please review the document and share feedback.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,I’ll call you after lunch.
ham,Let’s catch up this weekend.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,I’ve emailed you the details you asked for.
spam,Congratulations! You've won a free iPhone. Click here to claim now!
ham,Happy birthday! Hope you have a great day.
spam,Congratulations! You've won a free iPhone. Click here to claim now!
spam,Exclusive deal for you! Click the link to redeem.
spam,Exclusive deal for you! Click the link to redeem.
spam,Earn money from home! No experience needed.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,Did you get my message yesterday?
spam,You have been selected for a $1000 gift card. Reply WIN to claim.
ham,Let’s catch up this weekend.
spam,Exclusive deal for you! Click the link to redeem.
spam,You’ve been chosen for our loyalty program. Confirm now.
ham,Can you send me the notes from today’s lecture?
spam,You’ve been chosen for our loyalty program. Confirm now.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let’s catch up this weekend.
spam,You have been selected for a $1000 gift card. Reply WIN to claim.
spam,Exclusive deal for you! Click the link to redeem.
spam,Congratulations! You've won a free iPhone. Click here to claim now!
spam,Win cash prizes daily! Visit our website to participate.
ham,Happy birthday! Hope you have a great day.
spam,You’ve been chosen for our loyalty program. Confirm now.
spam,Get 50% off on all items today only! Shop now.
ham,Can you send me the notes from today’s lecture?
